[2015-08-10T15:20:30.947Z] (formationcoding) Forms was appointed to Room Founder by fender.
[2015-08-10T15:21:06.428Z] (formationcoding) fender made this room secret.
[2015-08-10T15:21:08.324Z] (formationcoding) fender turned on modjoin.
[2015-08-10T15:21:08.338Z] (formationcoding) fender set modchat to +
[2015-08-10T15:26:23.769Z] (formationcoding) (fender added the room alias 'form'.)
[2015-08-10T15:33:24.225Z] (formationcoding) Raіn ☆ Kuro was promoted to Room Moderator by Forms.
[2015-08-11T06:03:23.623Z] (formationcoding) Unexpected Jazz was promoted to Room Moderator by Forms(.
[2015-08-11T08:29:00.670Z] (formationcoding) EosBot was promoted to Room Moderator by Forms.
[2015-08-11T08:51:08.232Z] (formationcoding) (Forms changed the roomintro.)
[2015-08-11T15:17:32.773Z] (formationcoding) (fender has removed VIP status from forms)
[2015-08-11T15:17:41.476Z] (formationcoding) (fender has given VIP status to Specialty)
[2015-08-11T17:16:33.375Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:33.976Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:34.577Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:35.699Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:36.310Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:36.950Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:37.551Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:38.149Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:38.985Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:39.648Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:40.414Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:41.017Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:41.214Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:41.816Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:42.311Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:42.909Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:43.701Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:44.302Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:45.709Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
[2015-08-11T17:16:46.310Z] (formationcoding) Specialty declared <button name="send" style="cursor: url(&quot;http://cur.cursors-4u.net/games/gam-8/gam750.cur1&quot;) , auto ; background: linear-gradient(200deg , yellow , red , yellow) ; border: 1px solid #0b1361 ; color: #1fc9e4 ; border-radius: 3px ; padding: 5px 4px" value="/me kills self" target="_blank">KYS</button>
